Id,Response
1,2
3,8
4,6
9,8
12,8
13,8
21,8
28,8
30,7
36,8
38,8
43,8
45,4
48,8
50,6
51,8
54,6
55,8
59,8
62,4
63,8
66,8
69,8
82,8
83,6
84,8
86,8
89,8
90,5
92,8
98,7
100,4
105,6
115,8
119,4
124,4
127,8
133,8
140,6
141,8
143,3
151,5
154,8
157,8
163,4
166,4
168,8
170,6
173,8
180,6
182,8
184,6
185,8
195,8
196,6
197,6
212,6
213,8
219,8
225,6
227,5
232,5
239,7
247,6
251,7
254,6
261,8
264,6
267,8
272,8
275,8
277,8
283,8
284,1
287,8
291,8
293,7
294,6
305,8
307,6
309,8
311,6
322,4
323,4
326,6
330,4
335,8
337,8
338,6
341,1
346,7
348,8
352,4
356,8
358,4
366,6
369,6
373,6
375,6
381,6
384,8
386,6
396,7
397,2
399,8
405,8
412,8
417,3
421,6
425,8
427,8
430,5
432,6
433,8
436,8
438,6
441,8
442,8
444,6
446,8
448,8
450,7
454,8
465,8
470,6
472,6
475,7
484,8
495,8
497,8
498,8
501,6
502,8
505,8
515,5
516,7
527,8
529,5
531,8
533,6
537,4
541,8
546,8
548,8
549,8
550,8
553,8
559,8
561,6
564,4
574,6
578,7
579,6
580,8
582,6
584,8
588,5
596,6
602,5
603,5
613,8
614,3
619,8
620,8
624,6
625,8
628,6
630,7
635,8
636,8
637,8
641,8
644,8
648,8
654,8
658,8
664,8
666,6
667,8
670,8
672,7
674,8
676,8
684,8
685,6
693,4
694,8
700,4
702,6
703,7
705,6
711,8
718,4
722,8
726,6
727,6
732,8
735,8
740,7
748,8
750,7
751,8
756,7
762,7
766,8
770,8
771,6
779,8
782,6
784,8
793,7
798,6
800,6
801,8
805,7
807,8
813,8
819,8
820,8
822,8
823,8
833,8
834,7
842,4
845,7
856,6
860,6
864,4
869,7
872,8
877,6
878,8
893,7
894,8
896,7
899,8
900,8
911,4
914,8
917,1
919,8
923,4
925,8
926,4
934,7
938,8
940,8
955,6
956,7
971,7
973,8
978,8
979,8
981,8
988,8
990,8
992,6
996,8
997,7
999,6
1000,8
1006,8
1009,4
1018,6
1025,6
1038,8
1042,8
1045,6
1046,8
1047,4
1050,6
1052,7
1054,8
1057,8
1061,4
1069,7
1071,7
1073,6
1074,8
1075,5
1083,7
1084,2
1089,6
1099,6
1103,4
1110,8
1123,8
1130,7
1135,8
1137,8
1145,8
1147,6
1152,8
1153,2
1154,8
1158,8
1166,6
1170,6
1172,6
1178,8
1179,8
1181,4
1182,8
1183,8
1191,8
1192,4
1200,5
1205,8
1207,8
1208,5
1209,3
1217,4
1223,8
1225,8
1226,6
1228,5
1230,6
1232,8
1235,8
1237,7
1257,8
1266,2
1267,6
1274,8
1277,8
1278,6
1280,8
1282,8
1293,6
1294,5
1305,8
1306,8
1311,8
1318,7
1320,8
1323,8
1325,5
1328,6
1336,6
1340,8
1341,8
1344,8
1345,7
1348,4
1358,1
1361,8
1364,6
1373,8
1377,6
1378,8
1380,7
1382,7
1383,7
1386,8
1387,1
1390,6
1395,8
1398,7
1402,6
1403,8
1405,8
1407,8
1410,2
1412,3
1419,8
1426,8
1428,8
1436,6
1437,5
1438,6
1441,8
1444,6
1448,5
1454,6
1457,7
1459,8
1463,8
1467,4
1471,7
1475,6
1476,5
1480,8
1481,3
1482,6
1489,6
1491,7
1494,8
1496,8
1500,8
1501,8
1503,7
1504,6
1505,4
1515,6
1517,5
1520,6
1521,4
1523,8
1526,8
1529,5
1530,8
1543,6
1544,8
1547,6
1550,8
1552,8
1554,7
1563,8
1574,8
1575,6
1576,8
1579,5
1582,7
1584,8
1585,8
1589,7
1596,8
1598,4
1611,8
1613,4
1615,6
1618,5
1627,7
1630,4
1638,6
1639,6
1640,8
1642,8
1645,6
1648,6
1654,6
1661,8
1662,6
1663,8
1666,6
1668,4
1670,2
1672,8
1681,7
1682,8
1683,3
1687,8
1688,8
1693,7
1694,8
1700,8
1704,6
1712,8
1716,8
1717,7
1722,6
1724,6
1738,2
1739,3
1740,8
1761,8
1763,8
1765,8
1766,6
1767,8
1771,6
1772,8
1777,8
1784,5
1799,7
1806,8
1810,2
1812,8
1814,4
1818,8
1819,8
1822,6
1823,8
1824,5
1834,7
1835,8
1844,7
1848,6
1849,8
1850,7
1851,6
1856,1
1862,3
1863,7
1872,7
1874,5
1875,8
1877,8
1900,8
1902,8
1904,7
1905,3
1908,8
1914,8
1916,3
1922,3
1933,7
1934,6
1939,7
1942,6
1947,8
1957,8
1971,8
1973,5
1974,6
1977,7
1981,6
1985,8
1987,6
1989,8
2001,6
2002,3
2007,3
2008,8
2011,6
2021,8
2034,8
2040,8
2044,5
2045,8
2048,8
2051,8
2062,8
2066,2
2068,7
2069,6
2074,8
2075,8
2078,8
2079,2
2080,4
2081,6
2084,1
2085,8
2087,8
2096,6
2102,7
2103,8
2107,8
2117,7
2118,6
2120,8
2121,6
2122,6
2130,8
2136,6
2138,8
2140,8
2143,8
2144,5
2145,7
2147,8
2150,4
2154,8
2155,3
2166,6
2169,4
2173,6
2176,1
2178,8
2179,8
2180,8
2184,8
2185,8
2188,6
2190,8
2194,8
2195,8
2198,7
2205,8
2206,8
2207,5
2212,7
2213,8
2216,8
2218,3
2224,8
2225,8
2228,8
2236,8
2242,8
2246,6
2250,8
2255,7
2256,2
2267,6
2268,8
2269,8
2272,6
2275,2
2280,8
2282,8
2287,8
2289,8
2293,8
2296,8
2307,6
2309,8
2313,7
2325,7
2327,8
2336,7
2339,6
2342,8
2347,8
2350,4
2360,7
2364,8
2369,2
2379,4
2394,6
2395,6
2399,6
2402,8
2410,8
2416,8
2420,8
2427,6
2434,8
2435,8
2441,8
2447,6
2452,6
2463,7
2467,8
2468,8
2470,8
2476,6
2483,3
2487,6
2492,8
2502,8
2504,6
2510,8
2511,4
2512,8
2517,8
2520,8
2521,8
2523,8
2524,8
2525,7
2526,7
2528,8
2530,6
2532,6
2536,6
2540,7
2541,8
2543,8
2549,8
2550,4
2556,6
2557,8
2559,7
2565,8
2566,8
2567,2
2568,6
2570,8
2573,8
2577,8
2578,8
2583,2
2586,6
2587,6
2588,8
2591,8
2597,8
2606,8
2607,8
2608,8
2611,1
2612,8
2613,8
2616,8
2621,8
2622,7
2634,8
2639,8
2642,1
2644,6
2650,3
2655,8
2664,8
2667,7
2670,7
2679,3
2681,8
2683,8
2685,8
2687,8
2696,6
2699,8
