Id,Response
1,4
3,6
4,6
9,6
12,6
13,7
21,6
28,7
30,5
36,7
38,8
43,7
45,4
48,8
50,5
51,7
54,6
55,6
59,7
62,4
63,7
66,7
69,8
82,7
83,6
84,6
86,7
89,8
90,5
92,7
98,6
100,4
105,6
115,7
119,3
124,3
127,8
133,6
140,5
141,8
143,4
151,4
154,7
157,8
163,5
166,3
168,8
170,5
173,7
180,6
182,7
184,5
185,6
195,7
196,5
197,6
212,6
213,7
219,8
225,4
227,6
232,5
239,6
247,6
251,5
254,5
261,6
264,6
267,7
272,7
275,7
277,5
283,7
284,4
287,6
291,8
293,6
294,5
305,6
307,5
309,7
311,5
322,4
323,4
326,6
330,3
335,7
337,7
338,6
341,2
346,6
348,6
352,4
356,7
358,3
366,6
369,5
373,6
375,4
381,6
384,8
386,5
396,6
397,4
399,6
405,8
412,7
417,4
421,5
425,7
427,6
430,5
432,5
433,7
436,7
438,6
441,8
442,6
444,5
446,7
448,6
450,6
454,7
465,7
470,5
472,4
475,6
484,8
495,6
497,8
498,7
501,5
502,6
505,7
515,4
516,6
527,8
529,5
531,6
533,6
537,3
541,7
546,7
548,6
549,8
550,6
553,7
559,7
561,4
564,3
574,6
578,6
579,6
580,8
582,5
584,8
588,6
596,5
602,4
603,4
613,7
614,3
619,7
620,6
624,6
625,7
628,6
630,5
635,7
636,4
637,8
641,8
644,8
648,8
654,7
658,5
664,7
666,6
667,7
670,8
672,6
674,8
676,6
684,8
685,5
693,4
694,6
700,4
702,6
703,6
705,5
711,7
718,4
722,7
726,5
727,4
732,8
735,7
740,5
748,7
750,6
751,8
756,6
762,6
766,7
770,6
771,5
779,6
782,4
784,7
793,6
798,5
800,6
801,6
805,6
807,6
813,7
819,7
820,6
822,8
823,7
833,8
834,6
842,4
845,6
856,6
860,6
864,4
869,7
872,7
877,5
878,6
893,6
894,7
896,6
899,5
900,6
911,3
914,6
917,1
919,7
923,4
925,6
926,4
934,6
938,7
940,5
955,6
956,6
971,6
973,7
978,7
979,7
981,6
988,6
990,7
992,4
996,7
997,6
999,6
1000,7
1006,6
