Id,Response
1,7
3,8
4,6
9,8
12,8
13,8
21,8
28,7
30,7
36,8
38,8
43,8
45,4
48,8
50,6
51,8
54,7
55,6
59,8
62,2
63,8
66,6
69,8
82,8
83,6
84,7
86,8
89,8
90,5
92,8
98,7
100,1
105,5
115,8
119,3
124,1
127,8
133,8
140,6
141,8
143,2
151,1
154,8
157,8
163,1
166,3
168,8
170,6
173,8
180,6
182,8
184,8
185,8
195,8
196,6
197,5
212,5
213,8
219,8
225,6
227,6
232,6
239,6
247,6
251,5
254,6
261,6
264,6
267,8
272,8
275,8
277,1
283,8
284,1
287,7
291,8
293,6
294,1
305,8
307,7
309,8
311,5
322,4
323,4
326,5
330,3
335,8
337,8
338,6
341,1
346,1
348,8
352,4
356,8
358,7
366,6
369,5
373,6
375,6
381,6
384,8
386,7
396,6
397,2
399,7
405,8
412,8
417,1
421,1
425,8
427,8
430,1
432,6
433,8
436,8
438,8
441,8
442,7
444,6
446,8
448,8
450,6
454,8
465,8
470,7
472,5
475,6
484,8
495,8
497,8
498,7
501,1
502,6
505,8
515,6
516,6
527,8
529,2
531,6
533,6
537,4
541,7
546,8
548,8
549,8
550,8
553,8
559,8
561,5
564,2
574,6
578,8
579,6
580,8
582,7
584,8
588,6
596,7
602,6
603,2
613,8
614,1
619,8
620,7
624,5
625,8
628,8
630,7
635,7
636,8
637,8
641,8
644,8
648,8
654,6
658,6
664,8
666,6
667,8
670,8
672,7
674,8
676,7
684,8
685,6
693,6
694,8
700,4
702,6
703,6
705,6
711,8
718,1
722,7
726,8
727,1
732,8
735,6
740,2
748,8
750,6
751,8
756,7
762,7
766,8
770,8
771,2
779,6
782,5
784,6
793,1
798,1
800,6
801,1
805,7
807,8
813,8
819,8
820,7
822,8
823,7
833,8
834,1
842,4
845,6
856,5
860,5
864,7
869,6
872,8
877,6
878,6
893,6
894,8
896,7
899,8
900,8
911,5
914,8
917,1
919,8
923,2
925,8
926,2
934,7
938,8
940,1
955,6
956,6
971,2
973,8
978,8
979,8
981,8
988,8
990,7
992,6
996,8
997,6
999,6
1000,7
1006,6
1009,1
1018,2
1025,6
1038,1
1042,8
1045,7
1046,8
1047,2
1050,6
1052,7
1054,8
1057,8
1061,4
1069,6
1071,7
1073,6
1074,8
1075,1
1083,6
1084,1
1089,5
1099,5
1103,2
1110,8
1123,8
1130,7
1135,8
1137,8
1145,8
1147,6
1152,8
1153,6
1154,8
1158,8
1166,6
1170,8
1172,6
1178,7
1179,8
1181,3
1182,6
1183,8
1191,2
1192,2
1200,3
1205,7
1207,8
1208,2
1209,1
1217,5
1223,8
1225,8
1226,2
1228,8
1230,6
1232,8
1235,8
1237,7
1257,7
1266,1
1267,6
1274,8
1277,8
1278,6
1280,8
1282,8
1293,7
1294,4
1305,8
1306,6
1311,8
1318,6
1320,8
1323,8
1325,2
1328,6
1336,5
1340,7
1341,8
1344,1
1345,2
1348,1
1358,1
1361,8
1364,6
1373,8
1377,7
1378,8
1380,1
1382,6
1383,1
1386,8
1387,2
1390,7
1395,8
1398,6
1402,2
1403,8
1405,8
1407,8
1410,2
1412,2
1419,7
1426,6
1428,8
1436,6
1437,2
1438,6
1441,8
1444,6
1448,6
1454,5
1457,6
1459,8
1463,8
1467,4
1471,7
1475,6
1476,6
1480,8
1481,3
1482,5
1489,7
1491,8
1494,8
1496,8
1500,8
1501,8
1503,7
1504,5
1505,4
1515,5
1517,6
1520,1
1521,4
1523,8
1526,8
1529,6
1530,8
1543,2
1544,8
1547,6
1550,8
1552,7
1554,6
1563,8
1574,8
1575,7
1576,7
1579,6
1582,1
1584,8
1585,8
1589,2
1596,8
1598,2
1611,6
1613,6
1615,7
1618,6
1627,7
1630,3
1638,8
1639,6
1640,8
1642,8
1645,6
1648,6
1654,2
1661,6
1662,6
1663,8
1666,8
1668,2
1670,2
1672,8
1681,8
1682,8
1683,1
1687,8
1688,8
1693,8
1694,8
1700,8
1704,6
1712,8
1716,8
1717,6
1722,1
1724,6
1738,5
1739,3
1740,8
1761,8
1763,8
1765,7
1766,6
1767,8
1771,6
1772,8
1777,8
1784,1
1799,6
1806,8
1810,5
1812,8
1814,3
1818,6
1819,6
1822,5
1823,8
1824,1
1834,6
1835,6
1844,7
1848,6
1849,8
1850,8
1851,8
1856,1
1862,2
1863,6
1872,7
1874,1
1875,8
1877,8
1900,5
1902,2
1904,6
1905,7
1908,8
1914,8
1916,3
1922,6
1933,6
1934,6
1939,6
1942,6
1947,8
1957,8
1971,8
1973,6
1974,6
1977,7
1981,6
1985,8
1987,6
1989,2
2001,5
2002,2
2007,2
2008,8
2011,6
2021,7
2034,8
2040,8
2044,3
2045,8
2048,7
2051,8
2062,8
2066,3
2068,7
2069,6
2074,8
2075,8
2078,8
2079,1
2080,1
2081,6
2084,2
2085,8
2087,8
2096,6
2102,8
2103,6
2107,7
2117,7
2118,1
2120,7
2121,2
2122,1
2130,8
2136,5
2138,8
2140,7
2143,6
