Id,Response
1,7
3,8
4,1
9,8
12,6
13,8
21,8
28,8
30,7
36,8
38,8
43,8
45,4
48,8
50,4
51,8
54,6
55,8
59,8
62,2
63,8
66,8
69,8
82,8
83,6
84,2
86,8
89,8
90,2
92,8
98,7
100,1
105,5
115,8
119,6
124,2
127,8
133,8
140,5
141,8
143,2
151,1
154,8
157,8
163,1
166,3
168,8
170,6
173,8
180,7
182,8
184,8
185,7
195,7
196,1
197,5
212,5
213,8
219,8
225,6
227,6
232,6
239,6
247,1
251,2
254,2
261,7
264,6
267,8
272,8
275,8
277,1
283,8
284,1
287,5
291,8
293,7
294,7
305,8
307,7
309,8
311,5
322,4
323,6
326,2
330,6
335,8
337,8
338,5
341,1
346,6
348,2
352,6
356,8
358,7
366,6
369,5
373,1
375,2
381,6
384,8
386,6
396,6
397,1
399,6
405,8
412,8
417,2
421,8
425,8
427,8
430,6
432,6
433,8
436,8
438,8
441,8
442,7
444,2
446,8
448,6
450,6
454,7
465,8
470,2
472,2
475,6
484,8
495,8
497,8
498,8
501,2
502,4
505,8
515,1
516,6
527,8
529,5
531,8
533,6
537,6
541,6
546,8
548,7
549,8
550,8
553,1
559,6
561,5
564,2
574,5
578,6
579,6
580,8
582,2
584,8
588,6
596,2
602,7
603,2
613,4
614,3
619,8
620,7
624,5
625,8
628,7
630,2
635,8
636,8
637,8
641,8
644,8
648,8
654,8
658,8
664,8
666,6
667,8
670,8
672,6
674,8
676,8
684,8
685,6
693,1
694,8
700,6
702,6
703,6
705,2
711,8
718,5
722,7
726,1
727,6
732,8
735,8
740,1
748,8
750,6
751,8
756,7
762,6
766,8
770,8
771,5
779,6
782,2
784,8
793,7
798,6
800,6
801,8
805,7
807,1
813,8
819,8
820,7
822,8
823,7
833,8
834,8
842,6
845,6
856,5
860,5
864,7
869,7
872,7
877,6
878,8
893,6
894,8
896,7
899,8
900,7
911,2
914,1
917,1
919,8
923,1
925,8
926,1
934,7
938,8
940,8
955,2
956,7
971,7
973,8
978,6
979,8
981,8
988,8
990,8
992,2
996,8
997,6
999,6
1000,8
1006,6
1009,2
1018,6
1025,6
1038,7
1042,8
1045,6
1046,8
1047,2
1050,5
1052,7
1054,8
1057,7
1061,6
1069,2
1071,7
1073,6
1074,8
1075,2
1083,1
1084,1
1089,5
1099,7
1103,2
1110,8
1123,8
1130,7
1135,8
1137,8
1145,8
1147,6
1152,8
1153,2
1154,8
1158,8
1166,7
1170,4
1172,6
1178,2
1179,8
1181,3
1182,7
1183,8
1191,6
1192,2
1200,6
1205,6
1207,8
1208,6
1209,2
1217,5
1223,8
1225,8
1226,2
1228,1
1230,6
1232,8
1235,8
1237,7
1257,6
1266,1
1267,6
1274,7
1277,8
1278,6
1280,8
1282,8
1293,6
1294,6
1305,8
1306,7
1311,6
1318,5
1320,8
1323,8
1325,5
1328,1
1336,5
1340,6
1341,8
1344,8
1345,7
1348,6
1358,1
1361,8
1364,6
1373,8
1377,7
1378,8
1380,6
1382,6
1383,6
1386,8
1387,1
1390,1
1395,8
1398,1
1402,6
1403,8
1405,8
1407,8
1410,2
1412,1
1419,7
1426,8
1428,8
1436,6
1437,2
1438,6
1441,8
1444,6
1448,6
1454,5
1457,6
1459,8
1463,8
1467,6
1471,7
1475,5
1476,1
1480,8
1481,1
1482,5
1489,7
1491,6
1494,8
1496,8
1500,8
1501,8
1503,6
1504,2
1505,6
1515,5
1517,6
1520,6
1521,4
1523,8
1526,8
1529,6
1530,8
1543,6
1544,8
1547,7
1550,8
1552,7
1554,7
1563,8
1574,8
1575,6
1576,7
1579,1
1582,1
1584,8
1585,8
1589,7
1596,7
1598,1
1611,6
1613,7
1615,6
1618,5
1627,7
1630,6
1638,6
1639,5
1640,8
1642,6
1645,1
1648,6
1654,5
1661,8
1662,6
1663,8
1666,2
1668,5
1670,1
1672,6
1681,1
1682,8
1683,2
1687,8
1688,8
1693,7
1694,8
1700,8
1704,6
1712,8
1716,7
1717,6
1722,2
1724,6
1738,2
1739,2
1740,8
1761,8
1763,8
1765,8
1766,2
1767,8
1771,7
1772,8
1777,8
1784,2
1799,8
1806,8
1810,1
1812,8
1814,6
1818,8
1819,6
1822,5
1823,8
1824,2
1834,6
1835,8
1844,1
1848,6
1849,8
1850,8
1851,5
1856,1
1862,5
1863,6
1872,2
1874,7
1875,8
1877,8
1900,7
1902,8
1904,7
1905,1
1908,8
1914,8
1916,1
1922,7
1933,6
1934,6
1939,6
1942,6
1947,8
1957,8
1971,8
1973,6
1974,8
1977,6
1981,6
1985,8
1987,6
1989,1
2001,5
2002,3
2007,6
2008,8
2011,1
2021,7
2034,7
2040,8
2044,1
2045,8
2048,7
2051,8
2062,1
2066,2
2068,7
2069,5
2074,8
2075,8
2078,8
2079,2
2080,7
2081,5
2084,1
2085,8
2087,7
2096,6
2102,6
2103,8
2107,8
2117,7
2118,2
2120,1
2121,5
2122,6
2130,8
2136,2
2138,8
2140,8
2143,7
