Id,Response
1,4
3,6
4,6
9,6
12,7
13,7
21,6
28,7
30,5
36,7
38,8
43,6
45,4
48,7
50,5
51,7
54,6
55,7
59,7
62,4
63,7
66,7
69,8
82,7
83,6
84,6
86,7
89,8
90,4
92,7
98,6
100,3
105,5
115,8
119,3
124,2
127,7
133,6
140,5
141,8
143,3
151,4
154,7
157,7
163,5
166,3
168,8
170,5
173,7
180,6
182,7
184,5
185,6
195,7
196,6
197,5
212,5
213,7
219,7
225,4
227,5
232,5
239,5
247,6
251,4
254,5
261,6
264,6
267,7
272,7
275,7
277,4
283,7
284,3
287,6
291,8
293,6
294,4
305,6
307,5
309,7
311,4
322,4
323,4
326,5
330,2
335,7
337,7
338,5
341,1
346,6
348,5
352,3
356,7
358,3
366,6
369,5
373,5
375,4
381,6
384,8
386,5
396,6
397,3
399,6
405,8
412,7
417,4
421,5
425,7
427,7
430,4
432,5
433,7
436,7
438,7
441,8
442,5
444,5
446,7
448,7
450,6
454,7
465,7
470,5
472,4
475,7
484,8
495,7
497,7
498,7
501,5
502,6
505,7
515,4
516,6
527,7
529,4
531,7
533,6
537,3
541,7
546,7
548,6
549,8
550,6
553,7
559,6
561,4
564,2
574,5
578,6
579,6
580,8
582,5
584,8
588,5
596,5
602,4
603,4
613,7
614,2
619,7
620,6
624,5
625,7
628,5
630,6
635,7
636,4
637,8
641,7
644,7
648,8
654,7
658,5
664,7
666,6
667,7
670,8
672,6
674,7
676,6
684,8
685,5
693,4
694,7
700,3
702,6
703,6
705,5
711,7
718,3
722,7
726,5
727,4
732,8
735,7
740,4
748,6
750,6
751,8
756,7
762,6
766,7
770,7
771,4
779,6
782,4
784,7
793,5
798,5
800,6
801,6
805,6
807,5
813,7
819,7
820,6
822,7
823,7
833,8
834,5
842,3
845,7
856,5
860,5
864,4
869,7
872,6
877,5
878,7
893,6
894,7
896,6
899,5
900,6
911,2
914,6
917,1
919,7
923,3
925,6
926,4
934,6
938,7
940,6
955,6
956,6
971,6
973,8
978,7
979,8
981,7
988,7
990,7
992,4
996,7
997,5
999,5
1000,7
1006,6
