Id,Response
1,1
3,2
4,6
9,7
12,8
13,7
21,5
28,8
30,6
36,7
38,8
43,8
45,1
48,8
50,1
51,1
54,7
55,8
59,8
62,6
63,7
66,8
69,8
82,8
83,6
84,6
86,1
89,8
90,6
92,7
98,8
100,6
105,2
115,6
119,1
124,4
127,8
133,8
140,6
141,8
143,6
151,1
154,8
157,8
163,1
166,1
168,8
170,1
173,8
180,6
182,8
184,1
185,8
195,8
196,7
197,6
212,6
213,8
219,6
225,1
227,5
232,2
239,6
247,6
251,5
254,6
261,8
264,7
267,8
272,7
275,6
277,7
283,8
284,1
287,7
291,8
293,8
294,1
305,6
307,1
309,8
311,6
322,1
323,8
326,7
330,6
335,8
337,7
338,2
341,1
346,5
348,5
352,6
356,8
358,2
366,2
369,5
373,2
375,8
381,1
384,8
386,7
396,7
397,4
399,8
405,8
412,8
417,2
421,2
425,8
427,8
430,4
432,6
433,6
436,8
438,8
441,8
442,7
444,2
446,7
448,7
450,6
454,8
465,8
470,6
472,1
475,5
484,8
495,7
497,8
498,8
501,6
502,2
505,1
515,1
516,8
527,8
529,5
531,8
533,6
537,1
541,8
546,7
548,8
549,8
550,6
553,6
559,6
561,6
564,1
574,2
578,6
579,5
580,8
582,2
584,8
588,1
596,2
602,6
603,5
613,8
614,2
619,8
620,8
624,8
625,6
628,1
630,1
635,2
636,6
637,8
641,8
644,8
648,8
654,8
658,6
664,8
666,8
667,5
670,8
672,2
674,8
676,8
684,8
685,4
693,2
694,6
700,6
702,5
703,6
705,5
711,8
718,2
722,8
726,6
727,5
732,8
735,8
740,1
748,1
750,6
751,8
756,7
762,7
766,8
770,8
771,7
779,6
782,2
784,7
793,2
798,2
800,7
801,8
805,2
807,5
813,8
819,8
820,4
822,8
823,6
833,8
834,5
842,2
845,8
856,8
860,6
864,6
869,6
872,1
877,6
878,7
893,7
894,8
896,5
899,8
900,6
911,5
914,8
917,1
919,8
923,1
925,7
926,1
934,1
938,6
940,8
955,7
956,6
971,6
973,1
978,8
979,8
981,8
988,7
990,8
992,1
996,8
997,5
999,6
1000,6
1006,7
1009,2
1018,6
1025,5
1038,8
1042,8
1045,8
1046,8
1047,2
1050,6
1052,7
1054,6
1057,6
1061,5
1069,6
1071,8
1073,6
1074,8
1075,2
1083,6
1084,1
1089,2
1099,6
1103,6
1110,8
1123,6
1130,8
1135,6
1137,8
1145,8
1147,5
1152,8
1153,2
1154,7
1158,7
1166,7
1170,6
1172,5
